Date,Title,Article_Link,Article
12.2.2019,Two new suspected cases of child sexual abuse in Oulu,https://yle.fi/uutiset/10642570,"Police in Oulu said on Monday that they are investigating two cases of alleged child sexual abuse suspected to have occurred last weekend.  The suspected cases were first reported by the Oulu regional paper Kaleva and lead investigator Detective Chief Inspector Eveliina Karjalainen confirmed to Yle that an investigation had been launched into the alleged offences. On Monday afternoon, police issued a statement saying that they suspect that two underage girls were sexually assaulted at a private home. One of the victims is under 16 and the other under 18. The cases are being investigated as aggravated rape and in the case of the younger victim, additionally as aggravated child sexual abuse. Other potential offences under consideration include assault and intimidation. Police have held one individual in connection with the alleged offences. The suspect has a foreign background and has a Finnish residence permit. Police said that the individual has lived in Finland for several years. They declined to comment on whether other suspects are involved. Oulu police have been investigating several reported cases of child sex abuse since last November. "
19.9.2017,"Third suspect in child sexual abuse case held in Germany, remanded in custody",https://yle.fi/uutiset/9840486,"A judge in North Karelia remanded an Iraqi-background man into custody on Monday on suspicion of sexual abuse of a minor. The man managed to leave Finland before being brought to trial.  However he was located in Germany in June and sent back to Finland to face trial. He is suspected of committing a sex crime with a girl under the age of 16. The incident is believed to have taken place in a private home last December, where a group of young girls and the three Iraqi-background men were spending the night. The North Karelia District Court previously handed one of the men a 13-month suspended prison sentence for attempted rape and child sexual abuse. The sentence remains in force in the Eastern Finland Appeal Court, since the man withdrew his appeal. A third man received an 18-month prison sentence for aggravated child sexual abuse. He was also ordered to pay nearly 20,000 euros in compensation. He has appealed the sentence, and the case is still being heard by the higher court."
3.1.2019,Oulu child sex abuse suspect arrested in Germany - again,https://yle.fi/uutiset/10580173,"A 25-year-old man suspected of sexual abuse of an underage girl in Oulu has been taken into custody in Germany, Oulu police said.  The man was arrested in the city of Saarbrücken in western Germany on Wednesday evening.  The suspect, who is one of eight men being investigated for sexual offences against minors, will likely be extradited to Finland by the end of January, police said.  The man had already been taken into custody by German authorities in December, but he was released due to a communication lapse before he could be transferred to Finland.  Police subsequently issued an international warrant for his arrest.  The man is suspected of aggravated sexual abuse of a minor, aggravated rape and assault. "
9.5.2019,4-year prison sentence in Oulu child sexual abuse case,https://yle.fi/uutiset/10775828,"Oulu District Court has sentenced a man to four years in prison for the aggravated rape and aggravated sexual abuse of a child. He was also ordered to pay the victim 22,000 euros for pain, suffering and undermining her psychological situation. The female victim was 13 years old at the time of the crimes. They took place between April and September of last year in a private residence in the northern city of Oulu. The court says that there were ""shortcomings in the victim's ability to act and understand"", which the perpetrator should have realised. The perpetrator and the victim had met and kept in contact via Facebook, Instagram and WhatsApp. According to the Finnish News Agency STT, the perpetrator is a 21-year-old who came from Afghanistan as an asylum seeker. Special prosecutor Pia Mäenpää said she is satisfied with the court's decision, while council for the defence, Jaana Piipar said both she and her client were disappointed with it, saying they plan to initiate appeal proceedings.  The case is one of a series of crimes that came to light in Oulu at the end of last year. Altogether eight men are suspected of aggravated sexual abuse and violent assault of the same victim over the course of nearly five months.  Police say all the suspects came to Finland as refugees or asylum seekers. Some have already been granted Finnish citizenship. Yle has learned that at least three of the men lived at the same reception centre. The cases are being handled separately. One other case has been passed on to the district court. The six others will probably go to trial this summer."
20.3.2019,Court hands down 44-month jail term in Oulu child sex abuse case,https://yle.fi/uutiset/10698801,"A 44-year-old man has been slapped with a three-year eight-month prison sentence after being found guilty of aggravated child sexual abuse and aggravated rape. The offences were found to have occurred between summer and autumn last year. On Wednesday the Oulu District Court convicted the defendant, Muso Asoev, and said that it based its ruling and sentencing on the trust that the victim -- a 10-year-old child -- had placed in the accused. The court also ordered Asoev to pay the victim 9,500 euros for distress arising from the offence and an additional 1,500 euros for pain, suffering and other afflictions. The court said that the trust the child placed in the accused played a role in its sentencing. The man had no previous criminal record. Wednesday's verdict is the first of several cases of suspected child sex abuse under investigation in Oulu that came to light late last year. At the time police said they suspected eight men of child sex abuse committed over a period of several months. Police said they believe that one of the suspects may have purchased sexual services from a young person. According to investigators the suspects include Finnish nationals as well as foreigners. They said that the suspects approached their victims online and speculated that some of the suspects and victims knew each other otherwise."
9.7.2019,Four and a half year prison sentence in 6th Oulu child sex abuse case ,https://yle.fi/uutiset/10869460,"The Oulu District Court sentenced Hassan Mohamed Mohamud to four and a half years in prison on the charges of aggravated child sexual abuse and aggravated rape. The offences were committed on three separate occasions between July and October last year at two different hotels in Oulu.  As in the previous cases, the court found that the crime was further aggravated by the age difference between the defendant and the victim, and that the defendant had taken advantage of the girl's interest in him. The court also ruled that the defendant should have been aware of the victim's limited decision-making ability, which was a sign of the victim's young age and vulnerability.  The defendant and the victim had initially met online and kept in contact through the Kik messaging application. Tuesday’s conviction and sentencing is the sixth in a series of similar cases in which the same 13-year-old girl is believed to have suffered abuse at the hands of eight men of foreign background last summer and autumn. Two additional cases are still to be tried in court. District prosecutor Pia Mäenpää previously told Yle that there is no evidence to suggest that the suspects - all of whom did not know each other - abused the victim at the same time and or in the same place. Yle has learned that at least three of the men lived at the same reception centre.  Police say all the suspects came to Finland as refugees or asylum seekers, and that some of the eight have already been granted refugee status or Finnish citizenship.  The case was heard by two district judges and two jurors, and the court's judgment was unanimous. "
18.1.2019,All Points North #36: Media coverage of child sex abuse allegations with Anu Koivunen and Sam Kingsley,https://yle.fi/uutiset/10602756,"This week APN examined how the media has handled reports of recent alleged sex abuse crimes that police suspect were carried out by immigrants. The topic has raised the public's worry and outrage and grabbed the attention of lawmakers who quickly decided to increase the legal penalties for sex offences. As of Friday's programme, none of the suspects had been charged. Along with special guests media researcher Anu Koivunen and journalist Sam Kingsley, APN examined how the Finnish media has handled the ongoing sensitive subject so far. Due to Finland's laws on personal privacy, the topic of sexual abuse crimes - particularly when children are the victims - is not one that generally receives a lot of attention in the media because police don't often publicly announce preliminary investigations in such cases. When cases like these do reach the courts, they're heard behind closed doors.  But this time, the Finnish media provided a steady drumbeat of reportage on suspected offences in Oulu and Helsinki, as the police mentioned that the alleged perpetrators had foreign backgrounds.  Journalist Kingsley said that the media has a lot of power, and so it should carefully consider the ramifications of its coverage. He noted that his own employer, AFP news agency had to consider whether the Oulu case crossed the international news threshold. But once the Finnish President weighed in on the issue and Parliament began to consider tighter legislation, there was consensus that a story was warranted. Media researcher Koivunen added that since 2015, the media has also been more sensitive to social media trends, feeling compelled to report on subjects that have animated the public. She regretted that coverage of the alleged child sex abuse cases in Finland - which police say are not related - is now being rolled into Finland's stance on UN humans rights conventions and the larger immigration debate. Finland decided on Friday to review international conventions to which it is a signatory with a view to better manage immigration policy.  Audience favourites on Yle News social media sites this week included news of the bronze medal claimed by Finland's junior women's ice hockey team in Japan. The young Finnish team's impressive run for the championship title ran into a wall when they were defeated 7-1 by the US in the semi-finals.  Another news story that attracted interest was a report on unknown assailants firing three shots through a Finnish-Iraqi couple's front door in the municipality of Kangasala, near Tampere, narrowly missing the head of the female occupant of the home. The Finnish woman speculated that the act was racially-motivated and influenced by the alleged child sex abuse reports from Oulu and Helsinki. And finally, a story on a snow church in Lappeenranta, southeast Finland. The town's vicar said visitors can attend services there three times a week - and even exchange wedding vows if they wish. But brides- and grooms-to-be better be quick about it, as the frosty chapel will probably melt by March.  If you have any questions, or would like to share something on your mind, just contact us via WhatsApp on +358 44 421 0909, on our Facebook or Twitter account, or at yle.news@yle.fi. The All Points North podcast is a weekly look at what's going on in Finland. Subscribe via iTunes (and leave a review!), listen on Spotify and Yle Areena or find it on your favourite podcatching app or via our RSS feed. This week's show was presented by Zena Iovino and Mark B. Odom. Our producer was Pamela Kaskinen, the interview with child sex abuse researcher Julia Korkman was contributed by Denise Wall and the sound technician was Joonatan Kotila."
24.1.2019,Man suspected of child sex abuse to be extradited from Germany to Finland,https://yle.fi/uutiset/10612104,"A 25-year-old man arrested in Germany on suspicion of child sexual abuse will be extradited to Finland on Thursday.  The man was taken into custody in the city of Saarbrücken in western Germany on 9 January.  The suspect is one of eight men under investigation for alleged sexual offences against minors in Oulu between June and October of last year.  The man, who is suspected of aggravated sexual abuse of a minor, aggravated rape and assault, is expected to be remanded into custody by Oulu District Court on Friday. "
8.2.2007,Police Uncover Two Major Paedophile Cases,http://yle.fi/uutiset/5760412,"The man in the eastern city of Mikkeli is suspected of abusing over 30 children. According to results of a preliminary investigation, the 39-year old is said to have sexually abused some 13 under-aged girls. In addition, he had sex over the internet with over 20 more. The incidents took place from 2003 to 2006. The man diguised his age and contacted almost 100 girls via a internet picture gallery popular with the young. He has admitted the purpose was to engage in sexual activity. He was employed as a researcher at a higher education institute. Police have now handed over their report to the local prosecutor. In a second case, police in Helsinki suspect a 63-year old businessman of paying under-aged girls to pose naked at both his home and business premises. The man is currently in police detention. Police hope that other victims will come forward to give evidence. Last year over 1,000 incidents of paedophilia were uncovered in Finland. 
YLE
"
29.9.2004,Tens of Thousands of Kids Abused and Neglected,http://yle.fi/uutiset/5192873,"This is according to a new book published by the medical society Duodecim, which was researched and written by experts across medical and sociological professions. Kids in danger are frequently victims of abuse or neglect. According to the book, tens of thousands of minors are treated poorly at home. Last year more than 60,000 of them had to be placed in group homes or with foster families. The most frequent form of ill treatment is neglect. This includes not meeting children?s needs when it comes to food, love or acceptance, according to some of the experts that wrote the book. The newest and most worrying form of abuse is the use of children?s pictures on paedophile websites."
8.5.2009,Paedophile Sentenced to Four Years in Jail,http://yle.fi/uutiset/5248428,Charges against the man included indecent assaults and sexual assaults. The court ordered him to pay thousands of euros in damages to his victims. The case is linked to a broader sex crime investigation in which three middle-aged men from the capital city area stand charged of sexually abusing dozens of children. In some of the cases the suspects and victims met over the Internet. Other cases involved physical contact between the perpetrators and children. One of the men was sentenced to a 20-month prison sentence by the Helsinki District Court last month. The court will hand down a ruling on the third suspect next week.
23.6.2020,"Online child groomer gets two-year suspended sentence, paper reports",https://yle.fi/uutiset/11414153,"Central Finland District Court has handed a two-year suspended prison sentence to a Jyväskylä man found guilty of grooming and sexually exploiting 22 children over the course of two years, according to the newspaper Keskisuomalainen.  The defendant was also ordered to pay damages to his victims totalling 29,500 euros, cover all legal costs totalling 14,500 euros, and perform 120 hours of community service.  The paper reported that the 41-year-old man was convicted on 13 charges of sexually abusing children, 10 charges of attempting to lure a child into sexual activity, two of disseminating a sexually abusive image and two of possessing an image of a sexually abused child. The man had previously denied committing nearly all of the crimes during the preliminary investigation, but later admitted to them in court. The paper added that the court had considered a custodial sentence in the case, but opted for a suspended sentence instead as the defendant had already spent four months in pretrial detention and did not have a previous criminal record.  The court also took into account that no physical contact was involved in any of the crimes. The man committed the crimes between 2018 and 2020 by pretending to be a child using the Momio social media platform, which is popular among 7 to 13-year-old children.  A police investigation was launched on the basis of tip-offs from the site’s administrators, and the man was eventually caught in a covert operation conducted by the National Bureau of Investigation.  Undercover police established conversations with the man and he was arrested in October after he turned up to a pre-arranged meeting with what he believed was a child. He was then held in pre-trial detention until mid-December. After his release, the man continued to operate on the same online service and he was arrested again in April and held in remand until trial."
28.12.2005,Paedophilia Statute of Limitations Extended,http://yle.fi/uutiset/5221567,"The new law allows paedophilia cases to be prosecuted until the victim turns at least 28 years of age. This also affects rape and sexual coercion committed against youth under 18 years of age. Until now, the statute of limitations on the sexual abuse of children has expired after ten years, and aggravated sexual assault expired after 20. The new law also changes punishments for abducting children to anywhere between a fine and two years in prison. However, the new rules will only affect crimes committed after the law comes into effect. This year, sex-related crimes have grown significantly in the capital region, with crimes against children having increased the most. Police say the increase is due in part to more victims coming forward to report the crimes."
25.4.2005,Man Suspected of Sexually Abusing 445 Boys,http://yle.fi/uutiset/5215933,"The 43-year-old man will be tried soon in a court in Kouvola. If he's found guilty, this will be the largest crime in Finnish history in terms of the number of victims. He could face up to 10 years in prison. The man was arrested in January as he returned from his 26th trip to Thailand. Police suspect him of abusing local boys aged 12 and 13. 
Diary Detailed Abuse
 Police seized a large amount of child pornography that they say the man had produced in Thailand. In a raid on his house, they also found a diary which they say is hard evidence against him. ""In the search we found his diary, in which there were precise details about his previous trips,"" says Chief Inspector Lars Henriksson of the Central Criminal Police. Police got the tip from abroad, where a similar investigation into a foreign paedophile revealed a link to the Finnish man. Nonetheless, authorities don't believe the Finn is part of a paedophile network. They describe him as a ""lone wolf"". Police won't say whether the suspect has confessed, but they believe the evidence against him is incontrovertible."
3.1.2008,Paedophile Rehabilitation Useless?,http://yle.fi/uutiset/5817707,"
Currently used methods to treat paedophiles are largely useless, reports YLE's investigative journalism programme Silminnäkijä. Treatment must be voluntary, and few convicted child molesters chose this option.
 ""In the past ten years, dozens of people have been sentenced to jail [for child molestation]. And yet only three have voluntarily sought treatment. That's only around one percent of convicted paedophiles,"" Dr. Hannu Lauerma, the chief physician for Turku's prison hospital told Silminnäkijä. Lauerma also says that psychotherapy is ineffective as well, and the number of repeat offenders is very large. The most effective method, according to Lauerma, is the use of new kinds of hormones that directly affect the brain. But these can only be given with the convict's consent. According to police statistics, the number of child molestation cases in the past decade has doubled. Much of this is certainly due to increased awareness of the crime, but a large part of the increase is also due to the possibilities offered to paedophiles by the Internet."
18.2.2008,Police Confiscate Artwork Seen as Chld Pornography,http://yle.fi/uutiset/5823484,"
The Helsinki Police launched a preliminary investigation against an artist after confiscating artwork seen as child pornography from a gallery in Helsinki. The officer in charge of the investigation, Inspector Sampo Suomala, said there were sufficient reasons to proceed with the investigation. The artist, Ulla Karttunen, is suspected of possessing obscene photos of children. The prosecutor will decide whether to press charges following the preliminary investigation. Police confiscated the artwork Friday from the Kluuvi Gallery in Helsinki after a visitor at the exhibition called police to complain. According to Karttunen, the work criticises child pornography and is comprised of pictures found on the internet. The artist said she is surprised by the police action. ""I don't understand why nothing is done about child pornography, just about artwork that criticises it"" she told YLE. YLE"
20.5.2006,Paedophile Case One of Finland's Largest,http://yle.fi/uutiset/5225602,"A male Taekwondo coach is suspected of 29 counts of aggravated child sexual abuse against female students. According to the newspaper Kaleva, a preliminary investigation revealed 664 individual abuse cases. The 32 year old suspect has been in prison since January. Charges are to be filed by Friday at the latest. The series of offences spans the years 1997 to 2005. Fifteen plaintiffs have joined the case, but not all the victims have wanted to press charges. The newspaper reports that police were, in part, able to determine the scale of the crimes by videos confiscated from the suspect. 
YLE24
"
14.1.2009,Plan to Forcibly Medicate Paedophiles in the Works,http://yle.fi/uutiset/5713460,"Currently it is illegal to require individuals to take medication in Finland. The number of persons accused of paedophilia has more than doubled since the turn of the century. Many of the culprits are repeat offenders. Last year, the Justice Ministry established a working group to determine if perpetrators could be forcibly medicated. According to information obtained by YLE, the group feels that persons guilty of aggravated paedophilia could be prescribed such treatment. The drugs are already in use in Denmark and Sweden. “The drugs interact with hormonal systems and suppress sex drive. This is an extreme solution and should only be used as a last resort,” said Hannu Lauerma, the chief physician at the Psychiatric Hospital for Prisoners. The working group has challenges ahead if it wants to see this legislation passed. Under Finland's current law, individuals cannot be medicated against their will. Furthermore, there is the question of how to monitor the use of the medication. The working group is also considering whether failure to take the drugs could be grounds for shipping convicts back to jail."
31.3.2008,Background Checks Don't Catch Convicted Paedophiles,http://yle.fi/uutiset/5829305,"The law states that persons working with minors must present a document disclosing any convictions for sex, assault and drug-related crimes. Background checks are however not required of people working under contracts lasting less than three months. Substitute teachers also tend to slip through laws that were designed to protect children. Employers are moreover not informed of any convictions handed down to their employees. Pecuniary penalties are not listed on criminal records. This means that someone convicted of sexual abuse has an unrestricted opportunity to work with children. Furthermore, suspended prison sentences are not a deterrent from working with children, as sentences are wiped off criminal records after five years, reports Turun Sanomat."
27.9.2006,Helsinki Police Uncover Paedophile Crimes,http://yle.fi/uutiset/5751936,"The suspects are described by police as middle-aged men with good incomes. Some of the men have families, others are teachers, and they are all from the capital region. The perpetrators are suspected of hundreds of sexual offences, including aggravated sexual abuse of minors and coercion. The victims are between the ages of 6 and 17 years old and come from different areas in Finland. Police say they are not sure at this stage if the incidents are part of a larger paedophile ring. Some of the cases have already progressed to court while charges are still pending in other instances. The victims and the suspected perpetrators met online in IRC and other chatrooms. Police began their investigations at the beginning of this year. They are continuing to investigate the matter. 
More Sex Crimes Revealed The National Bureau of Investigation is said to be investigating another widespread case of abuse, according to Channel Four Finland. The victims include dozens of girls between the ages of 12 and 13. The main suspect, who has been taken into custody, is from southern Finland. According to police, an increasing number of sex crimes have been uncovered recently. Part of the reason is improved investigative techiniques. YLE24, Finnish News Agency"
