;Tag_Diana;title;news_platform;author;pubdate;news_type;article_text;news_category;tags;url;search_result_page
47;OVAC;Girls’ rights advocate raises alarm over gender-related abuses during quarantine;No news platform;No Author;Mon, 22 Jun 2020 21:43:14 PST;No news type;Stop Sexual abuse Concept, stop violence against Women, international women’s day CEBU CITY, Philippines — A group of non-government organizations (NGOs) has called on the government to “empower, protect and immediately respond” to the needs of girls and young women amid the high number of cases of gender-related violence during the implementation of community quarantine protocols. The group, Girls Advocacy Alliance, urged authorities to monitor the women and children who are at “increased risk” of violence, exploitation, abuse, and neglect and ensure the access and availability of access to and availability hotlines for reporting abuses and online helplines for psychosocial support and legal advice.  “The Girls Advocacy Alliance also urges local governments to boost efforts in preventing and addressing gender-based violence among their constituencies through intensive online and community-based information campaigns,” the GAA said in a statement. Quoting data from the Philippine National Police (PNP), the GAA said at least 2,183 cases of violence against women and 2,077 cases of violence from the start of the quarantine controls last March until early this  June 2020.  “Child-focused groups are receiving more and more reports of harassment and sex trafficking on social media, with many online perpetrators even promising ‘lifetime membership’ and ‘exclusive access’ to child sexual abuse photos and videos,” the GAA said. ? “According to data gathered by the Philippine Commission on Women, the reported gender-based violence incidents include violations of the Anti-Rape Law, Anti-Violence Against Women and their Children Act, Articles No. 334 and 336 of the Revised Penal Code, Anti-Photo and Video Voyeurism Act, Anti-Trafficking in Persons Act, Anti-Sexual Harassment Act, and Safe Spaces Act,” it added. The GAA added said it was also alarmed by the possibility that the reported number might not reflect the extent of the abuses yet.  READ: Gov’t agencies: Report gender-based violence in your areas While poverty is a major cause of exploitation, the GAA added that the ongoing economic struggle might force girls and women to engage in prostitution to support their families.  “Parents may coerce their children to perform sexual acts in exchange for money. With children spending more time on the internet because of school closures, perpetrators may take advantage of the situation and lure them to perform sexually explicit acts in front of the camera,” the group said. “The reluctance to speak and fear to report — combined with quarantines, very limited access to protection and support services, weak law enforcement, and victim shaming — leaves the door wide open for more children and women to fall prey to being sexually abused and exploited,” it added. The group also called for the disaggregation of data related to the COVID-19 outbreak by sex, age, and disability. From the disaggregated data, the group has also urged the government to analyze and understand the “gendered differences in impact, exposure and treatment, and to design differential preventive measures.”/dbs;No news category;No Tags;https://cebudailynews.inquirer.net/320692/girls-rights-advocate-raises-alarm-over-gender-related-abuses-during-quarantine;5
48;OVAC;Internet hindering fight against human trafficking — experts;Agence France-Presse;Agence France-Presse;Wed, 13 Sep 2017 09:27:50 PST;article;San José, Costa Rica — The anonymity afforded by the internet — especially in the dark web — is hindering efforts by organizations to fight human trafficking, especially the sexual exploitation of minors, experts from key groups said Tuesday. “The issue of the dark web, which for its form and configuration is extremely untraceable, is it makes it very difficult to find the criminals we are looking for,” Rosilyne Borland, a specialist on migrant assistance in Central and North America at the UN migration agency IOM, told an international conference in Costa Rica’s capital.  She and other speakers told the event, focused on tourism-related sexual abuse of children, that such crimes previously could be tracked through physical locations but were now online, where they were much harder to detect because of encryption, anonymity and locations easily masked. “Practically the whole process happens through digital means, and that makes it extremely difficult for location and identification,” said the head of Costa Rica’s PANI child welfare agency, Ana Teresa Leon.  The conference heard that up-to-date figures on human trafficking were to be presented at the UN General Assembly later this month. A video presentation said 46 million people worldwide were in situations of modern slavery, which is one aspect of the crime, along with the sexual exploitation of adults and minors.  In Costa Rica, Leon said, there were 56 victims of sexual exploitation last year.  That “very low number,” she said, was partly explained by the difficulty in identifying victims — and that many caught up in such situations didn’t see themselves as victims. Sex tourism is a sensitive issue for Costa Rica, which has taken steps to crack down on it. The head of the tourist board, Alberto Lopez, told the conference that, since 2010, “more than 450 businesses” — many of them hotels — have signed on to a code of conduct against the sexual exploitation of minors.;Internet;['Children', 'Crime', 'human trafficking', 'Internet', 'sex tourism', 'sexual exploitation', 'technology'];https://technology.inquirer.net/66889/internet-hindering-fight-human-trafficking-experts;6
49;OVAC;Palace vows to track, prosecute cybersex peddlers;INQUIRER.net;Kristine Angeli Sabillo;Sat, 18 Jan 2014 13:24:32 PST;article; MANILA, Philippines—Malacañang on Saturday vowed to step up efforts to curb child sex abuse in the Philippines following announcement by law enforcers that cyberpornography is the No. 1 crime in the country today.  “It’s important for us to protect our minors, number one. Number two, it’s always a concern for us because we don’t want to be identified as a (haven for tourists engaging in illegal activities),” Presidential spokesperson Edwin Lacierda said in a press briefing. “When I spoke to (Tourism) Secretary Mon Jimenez, we want to be remembered that Philippines is fun place to be in and fun in a positive way,” he said.  Senior Superintendent Gilbert Sosa, director of the PNP Anti-Transnational and Cyber Crime Division of the Criminal Investigation and Detection Group, said Friday that the Philippines is among the top 10 countries in the world where cyberpornography is rampant. Police investigation showed that Angeles City in Pampanga province, Cebu province, Cagayan de Oro City, and Metro Manila are the top four transmittal sites for online pornography, Sosa said.  “The data speaks for itself. It is now the No. 1 crime in our country. We have to act on this,” he said.  Lacierda said authorities are working to monitor and arrest those behind online sex trade. “Well, if there are protectors, number one, we will not countenance any syndicates that will prowl on our minors and that they will be used for instrument of – as sexual instruments. That is something that we will, really, pound the hammer on,” he said. The spokesperson also warned parents that they will be prosecuted if they are peddling their children through cyberpornography as their source of income. RELATED STORIES  PH among Top 10 producers of child pornography–PNP  PNP targets new pedophile ring in PH Cyberporn thrives, along with poverty;Philippines;['child abuse', 'Child Sexual Abuse', 'Children', 'Crime', 'Cyberpornography', 'cybersex', 'Internet'];https://globalnation.inquirer.net/97063/palace-vows-to-track-prosecute-cybersex-peddlers;6
50;OVAC;Philippines to charge Australian on Internet sex;Agence France-Presse;Agence France-Presse;Sat, 07 Mar 2015 16:26:10 PST;article;CHILD ABUSERS A government investigator leads away a cuffed Peter Gerard Scully (top photo) whowas arrested for producing pornographic videos that showed toddlers and children being sexuallyassaulted and tortured by his live-in partner, “Lovely.” CONTRIBUTED PHOTO MANILA, Philippines—Philippine prosecutors said Thursday they will file human trafficking, statutory rape and murder charges against an Australian man who allegedly sexually assaulted babies and children as part of a booming cyber-sex trade. The suspect, Gerard Peter Scully, 51, was arrested in the southern Philippines city of Malaybalay last month after allegedly sexually abusing at least eight girls, including an 18-month-old infant.  He also allegedly strangled one of the girls to death, with her skeleton later discovered buried under a house he had rented, investigators said. The Australian will also be charged with violating the Philippines’ cybercrime laws.  A complaint, filed by Justice Department investigators with the prosecutors’ office, said Scully forced the girls to perform sexual acts in front of a video camera for paying clients overseas. “Let notice be served to these criminal elements that the days of their child cybersex operations are numbered,” Justice Secretary Leila de Lima said in a statement on the case.  “Wherever these syndicates are, we will hunt them down and we will bring them to justice.”  In the complaint outlining the case against Scully, a 13-year-old girl was quoted as saying that her impoverished family agreed she could do domestic work at his home in 2012. But she was instead forced to perform sex acts with other girls, and was beaten by Scully’s Filipina girlfriend when she refused, according to the prosectors’ complaint. “They told me they had to take pictures of me naked because there was an American who really wanted to see me naked… and because the American will pay a large amount,” the complaint quoted her as saying. The girl said she fled Scully’s house after she learned he had sold her to a German national who was coming to collect her, the complaint said.  The head of the anti-human trafficking division of the justice department’s investigating arm, Eric Nuqui, said that Scully had been the subject of an international probe after Netherlands police found out about his activities. If convicted, the Australian could face life in prison. Authorities have warned the Philippines is a major hub of a billion-dollar global child cybersex industry, with operators aided by widespread poverty and legal loopholes that allow them to remain anonymous. Last year, de Lima said that online child abuse was the leading cyber-related crime in the Philippines, making up 46 percent of the more than 200 cases being handled by law-enforcement agencies.;;['Australian', 'charges', 'Children', 'Internet', 'porn', 'sex'];https://globalnation.inquirer.net/119360/philippine-to-charge-australian-on-internet-sex;6
51;OVAC;Cybersex den busted;No news platform;INQUIRER.net;Wed, 10 May 2017 00:01:50 PST;article;"MABALACAT, PAMPANGA—The suspected pedophile could see people banging on his front door. But were they neighbors? Cops? One had letters on her jacket.  As David Timothy Deakin googled “What is NBI?” from the laptop on his bed, National Bureau of Investigation agents smashed their way into his cybersex den. Children’s underwear, toddler shoes, cameras, bondage cuffs, meth pipes and stacks of hard drives cluttered the stuffy, two-bedroom town house.  Penciled on the wall, someone had scrawled “My Mom and Dad love me.” On his computer were videos and images of young boys and girls engaged in sex acts.  “Why is everyone asking about children coming into my house?” said Deakin, 53, bare-chested and slick with sweat, his breath sour and glasses foggy, his wrists bound with a zip tie. Deakin’s arrest on April 20 shows one of the darkest corners of the internet, where pedophiles in the United States, Europe and elsewhere pay facilitators in the Philippines to sexually abuse children, even babies, directing their moves through online livestreaming services. This relatively new crime, webcam sex tourism, is spreading rapidly. The United Nations describes “alarming growth of new forms of child sexual exploitation online.” The FBI says it’s epidemic, and that at any given moment, 750,000 child predators are online.  Almost every case stems from the Philippines, where good English speakers, increased internet connections and widespread international cash transfer systems combine with widespread poverty and easy access to vulnerable kids. There have been as many as three busts a week in the Philippines this spring. The youngest victim ever, rescued a few weeks ago, was an infant, 2 months old. Most are under 12. SUSPECTED PEDOPHILE ARRESTED American David Timothy Deakin, a suspected child webcam cybersex operator, is caught during an NBI raid in Mabalacat, Pampanga province. —AP This spring The Associated Press (AP) watched a raid, rescue and launch of a major investigation that continues to play out on both sides of the world. “This should serve as a warning,” said NBI antihuman trafficking chief Janet Francisco, who led the case. “We will really put them in jail and they will die in jail.” Even as police burst in, Deakin was streaming illicit content through the anonymous Tor network. Agents said he had a webpage open to wipe his phone clean. They tied him up with an iPhone charging cord before he could hit the button. AP and investigators asked him repeatedly why he had the obscene images stored on his computer. “There was no children in front of the cam in my house, not even dressed, as far as I know, not even with their frigging mothers as far as I know,” he said. But he said the images and videos might have slipped in when he downloaded massive files using BitTorrent, a data tool used legitimately by academics and artists, but also by child pornographers.

 FBI agents looking for abusers search BitTorrent to spot people sharing exploitative images. Deakin said he grew up in Peoria, Illinois, in a splintered family. He was licensed as a roofing contractor in his 30s, seasonal work that left winters free; he used the time to study computers. He moved to the Philippines in 2000 for a job setting up internet service providers and installing Blackmagic livestreaming production programs. In recent years, Deakin said, he earned $30 an hour as a systems administrator. But his home was filled with junk, his refrigerator near empty. Stacks of used egg cartons fell from the shelves, and a half-eaten pot of cold rice sat on the stove. “You know what you’ve done in this room,” an investigator told Deakin. She showed him a photo of several children. Shrugging, he said one of them was probably a few doors away with her cousin. Minutes later, two girls, 9 and 11 years old, were rescued by police.

 AP did not interview the girls Deakin told police about; victims of such raids need immediate and long-term counseling and care. But in the tranquil garden of a shelter for sexual exploitation survivors 96 kilometers south of Deakin’s town house, 19-year-old Cassie described her ordeal. AP did not use her whole name to protect her privacy. The youngest daughter in an impoverished family, Cassie believed the man who came to her village promising a better life if she’d go to the city with him. She was 12. Within months the man bleached her dark skin, straightened her hair, and began waking her at 4 a.m. to work. “He needed some girl to show her whole body in front of the camera,” she said. The abuse ended when her older sister found out and went to the police. Some buyers try to brush off the abuse, saying they’re not directly touching the children. GOTCHA A suspected cybersex operator, American David Timothy Deakin, is caught by National Bureau of Investigation agents in a house in Mabalacat, Pampanga province. The United Nations has described as alarming the growth of new forms of child sexual exploitation online. —AP “It’s not just a virtual crime. It is an actual crime,” said human rights lawyer Sam Inocencio, who heads International Justice Mission’s Philippines office, which supports local law enforcement with investigators and lawyers. “Online sexual exploitation is possibly the most evil thing that I’ve seen,” Inocencio added. In 2013, online sex exploitation of children gained global attention after researchers at the Netherlands-based nonprofit Terre des Hommes launched a realistic-looking animation of a 10-year-old Filipino girl named Sweetie.

 They took the fake girl on chat groups and online forums. Pedophiles swarmed. In 10 weeks, analysts identified 1,000 men in 71 countries who had tried to get illegal images. The proliferation of crimes, along with new mandatory reporting, led to 8.2 million reports last year to the National Center for Missing and Exploited Children’s CyberTipline related to online child sexual exploitation. That compares with 8.3 million reports in the 17 years prior. Officials at both ends of the abuse agree they need to collaborate to stop it, and last month the United States committed $3 million. Deakin’s bust turned out to be one of the largest seizures of its kind in the Philippines. His Cherry Mobile Touch HD tablet—which can be wiped clean and reset with a four digit code—had more than 4,000 contacts. One computer had another 13 networked into it, from servers he said were around the world. There were 30 hard drives. Neighbor Bessie Geronimo was teary-eyed. She’d seen children going in and out. Now, she wondered, could she have intervened? “Oh, I pity those children,” she said.

 Authorities from a village police substation said a housekeeper filed a complaint against Deakin last year: He wasn’t paying her, she said, and she was worried about what he was doing with children in the bedroom with the door closed. They visited his house but had no authority for a raid. “There are many such places,” said the security officer, Mike Wood. —AP";Editors' Picks;No Tags;https://newsinfo.inquirer.net/895580/cybersex-den-busted;6
55;OVAC;Man charged for ordering Philippines child rape videos;Agence France-Presse;Agence France-Presse;Sun, 03 Mar 2019 07:28:46 PST;article;In this photo, taken April 20, 2017, a member of the National Bureau of Investigation takes a picture of the computer of suspected child webcam cybersex operator, David Timothy Deakin, from Peoria, Illinois, during a raid at his home in Mabalacat, Philippines. Deakin’s arrest reveals one of the darkest corners of the internet, where pedophiles in the US, Canada, Europe and Australia pay facilitators on the other side of the world to sexually abuse children, directing their moves through online live-streaming services. AP FILE STRASBOURG, France – A man has been charged with ordering videos of rapes and sexual assaults, some of them on children, broadcast live from the Philippines, a French prosecutor said on Saturday. The suspect, a 55-year-old former police officer according to L’Est Republicain newspaper, was being held for conspiracy to commit rape and sexual assault on someone under 15 years of age, Francois Perain, prosecutor in the eastern city of Nancy, told AFP.  French officials were tipped off by the investigators at the US Department of Homeland Security of the activities of a French national between 2017 and 2018, said Perain. They had picked up the trail after equipment seized in a raid on a suspect in the Philippines yielded evidence of the live-streamed sexual assaults.  The system involved broadcasting the assaults live and charging people to view them and the victims, some of whom were children, said the prosecutor. Using online chatrooms, clients placed orders specifying the profile of the victim and how they wanted them to be assaulted and paid $15-60.  Although some videos are broadcast pre-recorded, others are broadcast live so the person who ordered it can influence what happens in real time, said Perain.  The suspect admitted to investigators that he had paid for such videos but said very few of them had involved minors, the prosecutor added. /cbb;Europe;['child abuse', 'Child Pornography', 'Child Rape', 'Features', 'France', 'Philippines', 'video streaming'];https://globalnation.inquirer.net/173390/man-charged-for-ordering-philippines-child-rape-videos;6
56;OVAC;S. Korea curbs minors’ YouTube appearances, content;The Korea Herald/Asia News Network;The Korea Herald/Asia News Network;Tue, 30 Jun 2020 17:13:57 PST;article;(Yonhap) SEOUL — South Korea announced a set of guidelines for minors’ appearances on YouTube and content on Tuesday in an effort to protect their human rights. The measures, unveiled by the Korea Communications Commission, advise children and teens not to appear on YouTube or other internet broadcasting programs for three or more hours on end.  They will also be recommended not to emcee live internet broadcasting programs or appear on them for six hours a day, and not to appear on programs between 10 p.m. and 6 a.m. Restrictions will be put on content that contains the abuse of minors or can be misunderstood as abusive.  In addition, children and teens should not be exposed to physical violence and risks, excessive emotional anxiety or fear. The guidelines also limit the creation of content that is obscene, induces a speculative spirit, and fuels racism or discrimination.  “The need for such guidelines has been raised amid controversies over child abuse and sexual harassment in the wake of a surge in internet broadcasting programs featuring children and teens,” the commission said.  The rules also cover producers and guardians of children and teens appearing on internet broadcasting programs. YouTube and other platform providers should observe the rules as well, according to the commission. (Yonhap);Internet;['Children', 'Human Rights', 'Internet', 'minors', 'South Korea', 'technology', 'Youtube'];https://technology.inquirer.net/101540/s-korea-curbs-minors-youtube-appearances-content;6
61;OVAC;US sex abuser of PH kids gets 60 years in prison;INQUIRER.net US Bureau;INQUIRER.net US Bureau;Tue, 13 Sep 2016 00:11:30 PST;article;"Convicted child sex abuser Steven Rockett. PRISON PHOTO PORTLAND, Oregon – A US federal court judge sentenced a 47-year-old Forest Grove man to 60 years in prison for sexually abusing children in the Philippines U.S. District Judge Michael H. Simon on Thursday, Sept. 8, sentenced Steven Douglas Rockett to 60 years in federal prison followed by a life term of supervised release.  Rockett was convicted by a federal jury in Portland, Oregon after a seven-day trial in May of this year, for producing child pornography outside the United States, engaging in illicit sexual conduct in foreign places, producing and attempting to produce child pornography (five counts) and possession of child pornography. Prosecutors presented victim impact statements from Filipino child victims as well as statements from Rockett’s victims in Oregon. The prosecutors urged the court to impose a sentence of no less than 60 years – 45 consecutive to Rockett’s 52.5-year sentence in Oregon State court for crimes committed against a number of different victims.  Rockett’s attorneys requested the mandatory minimum sentence of 15 years, imposed to run concurrently with Rockett’s state sentence, which is presently on appeal. “One of civil society’s most important duties and obligations is to protect the most vulnerable among us. Children are the most vulnerable,” observed Judge Simon before agreeing with the prosecution’s recommendation and sentencing Rockett to 60 years – 45 to be served consecutive to the Rockett’s state sentence.  ‘Extremely serious offenses’  Judge Simon noted that these were “extremely serious offenses.”  He expressed doubt that Rockett could refrain from committing further crimes if released from prison. Judge Simon imposed a sentence designed to ensure that Rockett would not harm any other children stating, “I don’t think you are capable of restraining yourself.” The evidence presented at trial established that Rockett traveled to the Philippines, where he sexually abused Filipino children, and produced or attempted to produce child pornography depicting them. Rockett solicited children (either directly or through a parent) both in the Philippines and in Oregon, to take and send him sexually explicit images of themselves. In addition, Rockett surreptitiously recorded children undressing and showering at his residence in Forest Grove, at a former residence in Aloha, and in hotel rooms in the Philippines. Collaborative investigation  The investigation was a collaborative effort on the part of the Forest Grove Police Department, the Washington County Sheriff’s Office, and the FBI. Investigators executed search warrants at Rockett’s residence, and seized computer equipment and digital data storage devices. Investigators found a pinhole camera hidden in a wall in a guest bathroom, which Rockett used to record images of naked children. Another spy camera, hidden inside a clock radio, contained surreptitious video recordings of naked Filipino children in the bathroom and shower of Rockett’s hotel room. Rockett appeared in some of the videos. FBI Special Agents traveled to Cebu City, Philippines, where they identified and interviewed some of the victims depicted in the videos, and some of the children who Rockett solicited to send him sexually explicit images. The jury heard testimony from seven victims who were sexually abused or exploited by Rockett in Oregon and overseas. The jury deliberated several hours before reaching their verdict. “This sentence is a just and deserving punishment for a dangerous sexual predator, and reflects the life-long impact his conduct will have on his victims,” said Billy J. Williams, U.S. Attorney for the District of Oregon.” Williams added, “We will not tolerate American citizens traveling abroad to sexually abuse children. Child sexual predators like Steven Rockett must understand that the sexual exploitation of children carries severe consequences, as Judge Simon’s sentence clearly demonstrates.” Life behind bars “Effectively, Steven Rockett will, rightfully, live the rest of his life behind bars. I would ask the community to remember that the innocent children who suffered his abuse will also pay a heavy price for many years to come,” said Greg Bretzing, Special Agent in Charge of the FBI in Oregon. “No child deserves to live a life of violence and violation, and it is our responsibility to bring justice to them and their families.” This case stemmed from a coordinated investigation by members of the FBI Child Exploitation Task Force and was brought as part of Project Safe Childhood, a nationwide initiative to combat the growing epidemic of child sexual exploitation and abuse. Launched in May 2006 by the U.S. Department of Justice and led by United States Attorneys’ Offices and the Criminal Division’s Child Exploitation and Obscenity Section (CEOS), Project Safe Childhood marshals federal, state, and local resources to better locate, apprehend, and prosecute individuals who exploit children via the Internet, as well as to identify and rescue victims. For more information about Project Safe Childhood, please visit www.projectsafechildhood.gov. Anyone who has information about the physical or online exploitation of children are encouraged to call the FBI at (503) 224-4181 or submit a tip online at www.fbi.gov/tips.

 RELATED STORY US man convicted of PH and Oregon child sex abuse";Americas;['child sex abuse prosecution', 'child sex abusers Philippines', 'FBI', 'FBI Child Exploitation Task Force', 'Forest Grove Police Department', 'Northwest Regional Computer Forensics Laboratory', 'Project Safe Childhood', 'Steven Douglas Rockett', 'the Washington County Sheriff’s Office', 'U.S. Department of Justice', 'U.S. District Judge Michael H. Simon', 'United States Attorneys’ Offices and the Criminal Division’s Child Exploitation and Obscenity Section (CEOS)', 'Washington County District Attorney’s Office'];https://globalnation.inquirer.net/144595/us-sex-abuser-of-ph-kids-gets-60-years-in-federal-prison;7
62;OVAC;Asap!;Philippine Daily Inquirer;Philippine Daily Inquirer;Sun, 24 Aug 2014 00:30:40 PST;article;"Despite the fact that Filipinos traditionally highly treasure children in their midst, sexual abuse and exploitation of children tragically remain common in Philippine society. Adding to this poignant irony is that even as the clamor for greater vigilance against child abuse is spreading worldwide, incidents of rape and murder of children in both urban and rural settings in our country continue to be reported with seeming regularity, many of them perpetrated by those who are supposed to care for them. One of the most chilling perhaps was the rape-slay of 11-month-old Geraline Cortes in San Juan City; the infant’s violated body was left under a parked passenger jeepney. In another incident, at an evacuation camp in Zamboanga City, a 6-year-old girl was raped by her own grandfather. Last February, a 14-year-old girl was found dismembered in North Cotabato. The horrific killings and rapes are simply startling to fathom as handiworks of human beings.  But it gets even worse. Some are making money from this horror. The production of porn videos, featuring Filipino children (male and female), being offered to pedophiles online by their own parents no less, have become a profitable cottage industry. Earlier this month, a mother was arrested in Taguig City by the National Bureau of Investigation  for running a cybersex den and for using her own 10-year-old daughter in the trade. “They do not want me. My clients want young girls so I asked my daughter to do the show,” the mother said, claiming she needed to run the illicit business to pay the bills. In March, police arrested two women in Davao City for forcing their seven children—one as young as two years old—to perform sexual acts transmitted via the Internet for foreign clients. It turns the stomach to hear one investigating officer’s account about the women’s staple American client: “Sometimes he’d call them one by one. Sometimes, he’d call five of them at the same time. The children would stand in a corner, stark naked, waiting for who’s next.” Even more alarming, online video streaming of child pornography has been tracked in 31 of our country’s 81 provinces, with a BBC Special Report counting between 60,000 and 100,000 Filipino children-victims thus far.  This outrage has no place in a civilized, human community. Society can’t sit back and just watch with cold indifference as the list of victims grows longer. We therefore strongly support Sen. Miriam Defensor Santiago’s bill seeking to prevent sexual abuse of children or at least minimize their vulnerability to the crime. Santiago would have the children, from Kindergarten to Grade 8, armed with the information they need to prevent sexual abuse and exploitation. “The incidence of child sexual abuse, child sexual exploitation and child abduction can be reduced by raising awareness among young children of common dangers and warning signs, empowering children to better protect themselves from sexual predators, and teaching children how to obtain any necessary assistance or services,” Santiago stated in her bill’s explanatory note. This kind of preventive, classroom-based measure is not exactly new. Similar measures have taken hold in the United States.  After being raped by a neighbor and abused by a family member and threatened with harm if she squeaked, Illinois girl Erin Merryn chose to remain silent about her ordeal. But later finding courage to speak out, Merryn helped push a law that has been named after her—“Erin Merryn’s Law”—which requires sexual abuse awareness for students K-to-12 in her home state, an act replicated in 18 other states. New York State passed the law in April, with state Sen. David Valesky speaking strongly about the subject. “As a society, we must do whatever we can to prevent sexual abuse of children,” Valesky said. “Erin’s Law will require schools to add to existing curricula and provide children with age-appropriate information about ways to get help. By giving children a means to feel safe so they can speak up, we can get them out of horrible situations as well as catch and punish their abusers.”  By “raising awareness among young children of common dangers and warning signs” Santiago’s bill, to be sure, once enacted into law, can reduce child abuse, exploitation and abduction here. In a country where many are loath to discuss any aspect of sex in classrooms, Santiago’s bill is bound to raise a lot of eyebrows. But unless there is another way, the bill should become law, Asap!";Editorial;['children', 'crime', 'Editorial', 'internet', 'online', 'opinion', 'Rape'];https://opinion.inquirer.net/77780/asap;7
63;OVAC;Cordova’s cyberporn trafficker gets 26 years in prison;No news platform;No Author;Wed, 20 Mar 2019 21:38:42 PST;No news type;A 25-year-old online trafficker from Cordova, Cebu was sentenced to 26 years in prison after pleading guilty to charges of attempted trafficking, child pornography, child abuse and voyeurism. | Photo and text courtesy of IJM-Cebu  CEBU CITY, Philippines – A 25-year-old mother from Cordova town in Cebu was meted a prison term of 26 years after she admitted sexually exploiting her two daughters, and another female minor, on the internet.  Alicia (not her real name) pleaded guilty to the charges of attempted trafficking, child pornography, child abuse, and voyeurism lodged against her, said a statement from the International Justice Mission (IJM). It also said that Presiding Judge Ramon Daomilas Jr. of the Regional Trial Court in Cebu City Branch 11 ordered the suspect to pay P1.5 million in fines and damages.  Enforcers from the Women and Child Protection Center-Visayas Field Unit of the Philippine National Police (PNP) rescued Alicia’s two daughters – then aged five and two – and another five-year-old girl in an entrapment operation conducted on July 30, 2016 in Cordova town, Cebu.   Authorities recovered from Alicia’s residence transfer receipts believed to have come from the suspect’s transactions with online sex predators.  Lawyer John Tanagho, IJM-Cebu Field Office director, lauded the outcome of the trial.  “Today’s conviction reflects excellent investigations by WCPC and prosecutions by DOJ. The evidence in OSEC (online sexual exploitation of children) cases is so strong that the accused are often pleading guilty, even to long sentences of 15 years or longer,” Tanagho said in the IJM statement.  “This leads to excellent results of timely justice for the survivors and protects child victims from having to testify in court to their abuse. People selling the live-streaming of child sexual abuse think it’s an easy way to make money, but really it’s just a sure way to get arrested and go to jail,” he added.  Cordova Mayor Mary Therese Sitoy-Cho hailed the conviction of the suspect. “We feel that this victory is not about penalizing or punishing the perpetrators, who usually are close relatives of the victims, even the parents themselves. But this is more about finding justice and rebuilding the lives and future of our children,” Sitoy-Cho said in the same statement.;No news category;No Tags;https://cebudailynews.inquirer.net/223384/cordovas-cyberporn-trafficker-gets-26-years-in-prison;7
64;OVAC;Groups seek firmer implementation of DICT policy to protect kids online;INQUIRER.net;Consuelo Marquez;Tue, 11 Feb 2020 21:51:24 PST;article;MANILA, Philippines — A consortium of child rights groups is appealing to the government to heighten the implementation of the Child Online Safeguarding Policy (COSP) under the Department of Information and Communications Technology (DICT) to prevent children from being exploited online. “The COSP is meant to provide protection to children who will access the Free Wi-Fi in communities because mechanisms and standards such as blacklisting and warnings in the captive portals are to be standardized and easily accessible,” read the statement from Safer Kids Philippines.  “So that children and their parents will be informed of the risks when navigating cyberspace and how to report when online harm is experienced,” it added. The COSP was put up in compliance with the Free Internet Access in Public Places Act, which requires the DICT to develop standards and mechanisms for protecting children online.  As child rights groups observe Safer Internet Day in the country, Safer Kids Philippines underscored the importance of awareness of online sexual exploitation of children. Citing the Philippine Kids Online Survey, Safer Kids PH said 90% of Filipino children have access to the internet whenever they and 59% connect to the internet “without supervision.”  Safer Kids Philippines consists of the Australian Embassy, Save the Children, The Asia Foundation and UNICEF. /atm;Metro;['child rights group', 'DICT', 'online protection of children', 'online sexual abuse and exploitation of children\xa0', 'Safer Kids Philippines'];https://newsinfo.inquirer.net/1227433/safer-kids-ph-calls-for-stronger-implementation-of-child-online-safeguarding-policy;7
